Hips, 0, 0, 0
Spine, 0.0024, 8.6008, -0.3408
Spine1, 0.0000, 10.0342, -0.3975
Spine2, 0.0000, 11.4677, -0.4543
Neck, 0.0000, 12.9011, -0.5111
Head, 0.0000, 17.3303, 0.1698
Head_End, 0.0000, 25.2570, -0.0000
LeftShoulder, 7.5764, 10.5812, -0.4708
LeftArm, 14.4927, -4.3303, 0.0805
LeftForeArm, 24.7720, 0.0001, 0.0000
LeftHand, 30.6346, 0.0001, 0.0000
LeftHand_End, 10.4486, 0.0001, 0.0000
RightShoulder, -7.5765, 10.5811, -0.5513
RightArm, -14.4927, -4.3304, -0.0805
RightForeArm, -24.7722, -0.0002, 0.0000
RightHand, -30.6398, -0.0003, 0.0000
RightHand_End, -10.3740, -0.0001, -0.0000
LeftUpLeg, 10.3323, -4.7743, 0.2003
LeftLeg, -0.0376, -40.0798, 0.5688
LeftFoot, 0.0410, -39.2095, -2.7252
LeftToeBase, 0.2520, -8.8293, 16.1917
LeftToeBase_End, 0.1245, 0.0083, 8.1171
RightUpLeg, -10.3349, -4.7684, 0.7529
RightLeg, 0.0372, -40.1295, 0.3592
RightFoot, -0.0412, -39.1701, -3.0692
RightToeBase, -0.2515, -8.8264, 16.1203
RightToeBase_End, -0.1242, 0.0098, 8.0777
