Hips, 0, 0, 0
LowerBack, -0.0105, 1.3891, -7.1396
Spine, 0.0105, 10.0000, 1.0000
Spine1, 0.0000, 12.0000, 1.6064
Neck, 0.0000, 27.0000, 2.2666
Head, 0.0000, 9.0000, 2.1271
Head_End, 0.0000, 11.0000, 2.0000
LeftShoulder, 8.0000, 19.6109, 2.8645
LeftArm, 12.0000, 1.0000, 0.6811
LeftForeArm, 19.0000, 0.0000, -1.5261
LeftHand, 23.0000, 0.0000, 0.0000
LeftHand_End, 10.0000, 0.0000, 0.0000
RightShoulder, -8.0000, 19.6109, 2.8645
RightArm, -12.0000, 1.0000, 0.6811
RightForeArm, -19.0000, 0.0000, -1.5261
RightHand, -23.0000, 0.0000, 0.0000
RightHand_End, -10.0000, 0.0000, 0.0000
LeftUpLeg, 9.0000, -7.1724, 0.0000
LeftLeg, 0.0000, -44.1113, 0.0000
LeftFoot, 0.0000, -36.1829, 0.0000
LeftToeBase, 0.0000, -4.8418, 13.0000
LeftToeBase_End, 0.0000, 1.0000, 6.0000
RightUpLeg, -9.0000, -7.1724, 0.0000
RightLeg, 0.0000, -44.0551, 0.0000
RightFoot, 0.0000, -36.1469, 0.0000
RightToeBase, 0.0000, -4.9226, 13.0000
RightToeBase_End, 0.0000, 1.0000, 6.0000
