Hips, 0, 0, 0
Spine, 0.0000, 7.7421, -0.2570
Spine1, 0.0000, 9.0325, -0.2998
Spine2, 0.0000, 10.3229, -0.3426
Neck, 0.0000, 11.6133, -0.3855
Head, 0.0000, 17.5350, 1.1031
Head_End, 0.0000, 43.6451, 0.0000
LeftShoulder, 4.8536, 9.7539, -0.3719
LeftArm, 9.7627, -3.6967, 0.0273
LeftForeArm, 16.7888, -1.5196, -0.5232
LeftHand, 21.1213, -0.2005, 0.6632
LeftHand_End, 11.2623, -1.1420, 0.2461
RightShoulder, -4.8536, 9.7539, -0.3991
RightArm, -9.7627, -3.6967, -0.0273
RightForeArm, -16.7888, -1.5196, -0.4416
RightHand, -21.1212, -0.2005, 0.6511
RightHand_End, -11.0798, -1.1917, 0.3386
LeftUpLeg, 9.7992, -4.2996, 0.1502
LeftLeg, 0.6799, -21.6890, 0.0839
LeftFoot, 0.1458, -20.0823, 0.3633
LeftToeBase, 0.7802, -11.5975, 13.7041
LeftToeBase_End, 0.5773, 0.0568, 7.1858
RightUpLeg, -9.7992, -4.2996, 0.0259
RightLeg, -0.6799, -21.6890, 0.1951
RightFoot, -0.1458, -20.0823, 0.2770
RightToeBase, -0.7802, -11.5976, 13.6982
RightToeBase_End, -0.5773, 0.0568, 7.2595
