Hips, 0, 0, 0
LeftUpLeg, 9.2698, 0.0000, 0.0000
LeftLeg, 0.0000, -39.8927, 0.0000
LeftFoot, 0.0000, -39.1634, 0.0000
LeftToeBase, 0.0000, -3.9000, 14.5550
LeftToeBase_End, 0.0000, 0.0000, 7.5000
RightUpLeg, -9.2698, 0.0000, 0.0000
RightLeg, 0.0000, -39.8927, 0.0000
RightFoot, 0.0000, -39.1634, 0.0000
RightToeBase, 0.0000, -3.9000, 14.5550
RightToeBase_End, 0.0000, 0.0000, 7.5000
Spine, 0.0000, 0.1000, 0.0000
Spine1, 0.0000, 26.0307, 0.0000
Neck, 0.0000, 19.8803, 0.0000
Head, 0.0000, 17.5442, 0.0000
Head_End, 0.0000, 11.5000, 0.0000
LeftShoulder, 0.0000, 19.8803, 0.0000
LeftArm, 17.0439, -0.0001, 0.0000
LeftForeArm, 27.7982, -0.0001, 0.0000
LeftHand, 21.6411, -0.0001, 0.0000
LeftHand_End, 10.0000, -0.0000, 0.0000
RightShoulder, 0.0000, 19.8803, 0.0000
RightArm, -17.0439, -0.0001, 0.0000
RightForeArm, -27.7982, -0.0001, 0.0000
RightHand, -21.6411, -0.0001, 0.0000
RightHand_End, -13.7000, -0.0001, 0.0000
