Hips, 0, 0, 0
Spine, 0.0001, 3.9624, -0.2743
Spine1, -0.0000, 14.1222, -0.3200
Spine2, -0.0000, 11.3992, -0.3657
Neck, -0.0000, 9.9382, -0.4114
Head, -0.0000, 8.5791, 0.1142
Head_End, -0.0000, 25.0914, -0.0000
LeftShoulder, 4.2241, 8.8884, -0.4246
LeftArm, 8.6068, -2.1070, -0.0264
LeftForeArm, 18.9752, -0.0001, 0.0000
LeftHand, 19.8960, -0.0001, 0.0000
LeftHand_End, 6.8765, -0.0001, 0.0000
RightShoulder, -4.2241, 8.8884, -0.3982
RightArm, -8.6068, -2.1069, 0.0264
RightForeArm, -18.9736, 0.0001, 0.0000
RightHand, -19.8983, 0.0001, 0.0000
RightHand_End, -7.0604, 0.0000, -0.0000
LeftUpLeg, 7.5569, -4.8264, 0.3005
LeftLeg, 0.3156, -24.0617, -0.3485
LeftFoot, -0.3155, -33.0302, -1.4402
LeftToeBase, 0.0920, -7.4833, 10.5116
LeftToeBase_End, 0.0963, -0.0548, 6.4199
RightUpLeg, -7.5571, -4.8261, 0.3005
RightLeg, -0.3155, -24.0678, -0.2223
RightFoot, 0.3155, -33.0245, -1.5666
RightToeBase, -0.0920, -7.4834, 10.2965
RightToeBase_End, -0.0963, -0.0548, 6.4112
